channels,Period,Segments,avg_MAPE_v2,avg_MAPE_v1,pcnt_MAPE_improvement
top_5_channels,2024-01 ~ 2024-09,All,0.09572410253360175,0.13070216470719864,26.76165482947844
top_5_channels,2024-01 ~ 2024-09,A,0.05249707901273203,0.08940591553365715,41.28232041539876
top_5_channels,2024-01 ~ 2024-09,B,0.060112360271303136,0.08740014658846346,31.221671109602262
top_5_channels,2024-01 ~ 2024-09,C,0.07061203251993291,0.09984823875457087,29.280642902977178
top_5_channels,2024-01 ~ 2024-09,D,0.1075572278500471,0.14200192180834997,24.25649844710585
top_5_channels,2024-01 ~ 2024-09,E,0.14890710039802738,0.18852521051217508,21.014754475815394
top_5_channels,2024-01 ~ 2024-09,F,0.1745465640804646,0.20398821386161553,14.43301513543522
top_5_channels,2024-01 ~ 2024-09,NA,0.14229040064444465,0.18633800423864133,23.638550694030904
top_7_channels,2024-01 ~ 2024-09,All,0.10856889983267241,0.13979045385516223,22.334539420580654
top_7_channels,2024-01 ~ 2024-09,A,0.0594426750375929,0.09182966682431383,35.26854981264703
top_7_channels,2024-01 ~ 2024-09,B,0.07348541088684006,0.10042431359181431,26.825080243486042
top_7_channels,2024-01 ~ 2024-09,C,0.07629703646137809,0.10549148367143157,27.674695808605556
top_7_channels,2024-01 ~ 2024-09,D,0.1315445940704171,0.15058606191429572,12.644907238968663
top_7_channels,2024-01 ~ 2024-09,E,0.1829331097471855,0.21629851874117492,15.425629906377136
top_7_channels,2024-01 ~ 2024-09,F,0.1814704088733138,0.200494954146582,9.48879005671102
top_7_channels,2024-01 ~ 2024-09,NA,0.1530615133421385,0.20932975215821997,26.880191772047603
top_10_channels,2024-01 ~ 2024-09,All,0.1460031072276695,0.1702820075563513,14.258053846732588
top_10_channels,2024-01 ~ 2024-09,A,0.08672197708731874,0.11396489430681557,23.90465711849266
top_10_channels,2024-01 ~ 2024-09,B,0.09040642364809465,0.11308379523862083,20.053599671530407
top_10_channels,2024-01 ~ 2024-09,C,0.10910128319223968,0.13099675914781003,16.714517288832027
top_10_channels,2024-01 ~ 2024-09,D,0.18450195086449347,0.20400775773491092,9.56130643608339
top_10_channels,2024-01 ~ 2024-09,E,0.23555050990753917,0.2671283120018204,11.821211258979558
top_10_channels,2024-01 ~ 2024-09,F,0.19837887239183644,0.22183084455610283,10.572006887137464
top_10_channels,2024-01 ~ 2024-09,NA,0.23637065475538702,0.2539880762932473,6.936318348078568
